Rank,Username,Submitted,Model Report Link,MA-MCC,MA-MCC std,MA-Accuracy,MA-Accuracy std,MA-Precision,MA-Precision std,MA-Recall,MA-Recall std,MA-F1 Score,MA-F1 Score std,Proprietary Data,Open Code
1,nova,2026-09-22 20:49 UTC,Not submitted,0.5131843675433383,0.0533273297951597,0.8734412568306011,0.0121285734804746,0.7083557750743827,0.0617190741392794,0.5052641332981735,0.0543717003581609,0.5801232051032377,0.0516388371184161,No,No
2,lex,2026-09-23 09:27 UTC,Not submitted,0.449263279855468,0.0539221865295158,0.8638087431693989,0.0120968804123019,0.6059091026006943,0.0593936321092921,0.4687338864016273,0.0558467595677009,0.5245133060614211,0.0502809188723161,No,No
3,TeamPozeSCAF,2026-09-22 05:19 UTC,https://docs.google.com/document/d/1ohRu6s3tod3sjRF2gV3mYdoe9cHzgn-dYE5ruSyBrWg/edit?usp=drive_link,0.448916454727702,0.0520615711532397,0.8661571038251366,0.012863524207429,0.6204851559691719,0.0609689346247435,0.454357963892639,0.0511864160864731,0.5210366342891527,0.048378071260481,No,No
4,Asidsal11,2026-09-11 21:45 UTC,Not submitted,0.4409573443998343,0.0607234994176037,0.8622090163934426,0.0127825191027872,0.7115882937483838,0.0774145280629656,0.4132648206791808,0.0544649335981321,0.4940371815224307,0.0610428005618563,No,No
5,harinu123,2026-09-09 20:45 UTC,Not submitted,0.4407481963356398,0.0510077261295957,0.8577800546448088,0.0131074969271573,0.5317825796358878,0.0541344321557903,0.5380329973389604,0.0522916530237005,0.5320868161662702,0.0464637696495184,No,No
6,vyshu9966,2026-09-21 10:02 UTC,Not submitted,0.4398280727967363,0.0517957154793916,0.8633893442622952,0.012756534287463,0.6194937618105459,0.0602794952927181,0.440177946570671,0.0511510696478419,0.5109957925396725,0.0484092590894248,No,No
7,20p1a,2026-09-21 10:27 UTC,Not submitted,0.4274296918171424,0.0548311419035833,0.8661680327868853,0.012742524530627,0.6236289560463554,0.0685855101711497,0.4161813397695136,0.0504143538888101,0.4940020012272306,0.0516178945060856,No,No
8,newcyp,2026-09-22 07:48 UTC,Not submitted,0.4231416111787763,0.0459455537987885,0.8337103825136613,0.0133412810001269,0.4831782546220137,0.0439499318774664,0.5922860227569093,0.0536295946014664,0.5233731934746524,0.0417034010771437,No,No
9,TeamPrescience,2026-09-23 13:22 UTC,Not submitted,0.4179821126314176,0.0546084867548915,0.8496680327868853,0.0129693152524243,0.5541382740321832,0.060478496083251,0.485814047969438,0.0540772498677158,0.5130510318248968,0.0505491035645724,No,No
10,yourchoice,2026-09-22 07:02 UTC,Not submitted,0.4139808972108463,0.0508531806507498,0.8417636612021857,0.0131053434749475,0.5063045636736467,0.0507159883052521,0.5337625162366737,0.0568060549333328,0.5164210973417561,0.0462082933907671,No,No
11,450nm,2026-09-13 14:30 UTC,https://openadmet-cyp-dashboard.vercel.app/operating_dashboard,0.4091323807620136,0.0512556488176061,0.8526680327868852,0.0127080114868366,0.541749611757226,0.0521005145265583,0.4640746384096418,0.0561021358416848,0.4896079818001599,0.0478096773445044,No,No
12,PIPL-Bio,2026-09-13 10:04 UTC,Not submitted,0.405980559978909,0.0525988827860904,0.8317581967213115,0.0139301106682834,0.4879983248274867,0.0555274395798575,0.5611326899468863,0.0527967061779366,0.5135679794694459,0.0480337226038718,No,No
13,jeremy,2026-09-04 12:10 UTC,https://github.com/jeremycheminf/openadmet_scripts/tree/main/CYP_Challenge,0.4024704227752518,0.0503945263586183,0.8432759562841531,0.0130539934710937,0.4932905083972954,0.0498914920830086,0.5198490314852077,0.0554209162471502,0.5029301268248756,0.0458598491950146,No,Yes
14,horse-pusher,2026-09-23 03:40 UTC,Not submitted,0.4016346686624364,0.0502266694332334,0.8440860655737705,0.0131019646298908,0.4938304848616691,0.0490632682429936,0.5152573076735874,0.0550017628385415,0.5001516642584141,0.0455823209938864,No,No
15,aries,2026-09-22 01:46 UTC,Not submitted,0.4010111939089325,0.0554902167569875,0.8302622950819671,0.0135221385473547,0.5668846066552556,0.0647378505673607,0.4755387793333498,0.0547571190144171,0.5083317274182879,0.0516398286797427,No,No
16,NorthCoil,2026-09-21 15:28 UTC,Not submitted,0.3991847308958356,0.045967419635861,0.8027554644808743,0.0142908020659536,0.4187665443705429,0.0437524119043772,0.6609318582986635,0.051232879013109,0.5087440398869745,0.0419463581476333,No,No
17,vyshuG15,2026-09-21 04:05 UTC,Not submitted,0.3970423007284875,0.0586348795400867,0.8566516393442624,0.0132207617195097,0.6234954949895247,0.0799710043563925,0.3819387475977285,0.0504140315786274,0.4637718176295106,0.0547354011988791,No,No
18,test,2026-09-22 00:59 UTC,Not submitted,0.3958071795345452,0.0594738585410794,0.8584303278688525,0.0133802593093908,0.6434985352337483,0.0790368160566867,0.3551748859232109,0.0511371048901587,0.4514877688905999,0.0563284610091118,No,No
19,stir_bar,2026-09-23 10:58 UTC,Not submitted,0.3910321703570906,0.051666682190403,0.8286844262295082,0.0135304318734052,0.4625696447346517,0.0553551249494626,0.5606005834794666,0.0515333448832521,0.4979208227158224,0.0476263036619025,No,No
20,curiousone,2026-09-23 08:50 UTC,Not submitted,0.390715766982701,0.0500344772393236,0.7835696721311475,0.0146590373143277,0.4265490951134784,0.0517152352307182,0.6631203521888395,0.0508119798741164,0.5040232540623788,0.0466178724960895,No,No
21,furtivepeony,2026-09-23 18:07 UTC,Not submitted,0.3907022645789879,0.0503041466991515,0.8330546448087432,0.0130584053688861,0.4898699158131578,0.0524425933144101,0.5185431133246543,0.0531447624437861,0.5008105711580875,0.0460475968765337,No,No
22,JSHCF,2026-09-23 14:50 UTC,Not submitted,0.3846309391968611,0.059268454378104,0.8456680327868853,0.013695903172858,0.5466528782527785,0.0706001653426474,0.4378578102962679,0.0541089073356882,0.4777040383717294,0.0546771407365829,No,No
23,N283T,2026-09-23 18:03 UTC,Not submitted,0.3823689336603498,0.0486783711183827,0.8454658469945354,0.0129567548676364,0.4542023010785329,0.0481972599783515,0.5172140259458547,0.050240367393858,0.481337105606003,0.0446618104012497,No,No
24,lgb,2026-09-22 08:16 UTC,Not submitted,0.3794334418125942,0.0517089311972172,0.8360669398907103,0.013710411420544,0.5026223171425342,0.0507550687205471,0.4680025357421575,0.0564368621537944,0.4759413303646677,0.0477927950857836,No,No
25,Gashaw,2026-09-14 23:59 UTC,Not submitted,0.3759621300369185,0.0455698463415132,0.8316734972677595,0.0132677704007967,0.4686860663311871,0.0409248373389184,0.5052273319654643,0.0543497071514435,0.4706702015257524,0.0410703198624169,No,No
26,SVK091,2026-09-01 13:00 UTC,Not submitted,0.3736885711083101,0.0536741827581207,0.8447062841530054,0.0133851462360063,0.5374793293402916,0.0577030799579068,0.4066280548674529,0.0554176806847615,0.4551417427255188,0.0502263537542371,No,No
27,blue,2026-09-22 23:42 UTC,Not submitted,0.3714864841375676,0.0576175937931376,0.8550478142076503,0.0133821172441528,0.5802003572497706,0.0771893620093784,0.372081207028829,0.0491903579224979,0.4430030196416673,0.053619155585576,No,No
28,EleanorRigby,2026-09-21 14:15 UTC,Not submitted,0.3707879570290904,0.0506194410906187,0.8250560109289617,0.0132458392599819,0.4414667635868386,0.062947498067444,0.5512941599891565,0.0445208138306182,0.4660411879434078,0.0462794986432926,No,No
29,ppsqq,2026-09-21 12:50 UTC,Not submitted,0.3706983305360929,0.0487876713571671,0.824983606557377,0.0134587813911548,0.4424099767888325,0.0455800509419563,0.5377391357835488,0.0547267786891893,0.4822160030155525,0.0438502904691053,No,No
30,vgny,2026-09-21 06:24 UTC,Not submitted,0.365217641571491,0.0418149871432092,0.823370218579235,0.0141427641204451,0.4579520434443051,0.0359626898558277,0.5063879126529792,0.052196060770998,0.4557791773670493,0.0371667478046575,No,No
31,Tutu,2026-09-22 00:48 UTC,Not submitted,0.3596210702318513,0.0440276730222697,0.8192527322404372,0.0138680920562762,0.4179200777430619,0.0436681983249963,0.5523234203006248,0.0474282388639509,0.4728276568268075,0.0401303011863607,No,No
32,cheminfo,2026-09-23 08:08 UTC,Not submitted,0.3522961077979772,0.0442725138666722,0.8059795081967214,0.0142705359144418,0.4117714831030893,0.0392928103205994,0.563828391620007,0.0534283363281963,0.4679291463877819,0.0398676338597452,No,No
33,preheat-to-450,2026-09-19 02:24 UTC,Not submitted,0.3519875141952994,0.0452864988800876,0.8356584699453551,0.0136765911562405,0.4358472772726343,0.0417930578785128,0.4848770475313158,0.0501796386184835,0.4559723717189543,0.0404322203743717,No,No
34,cyp3a4_test3,2026-09-23 01:13 UTC,Not submitted,0.3466485060759048,0.0497681061645185,0.8198838797814207,0.0136711111686246,0.4382770619980133,0.0499377178518498,0.5000420596645763,0.0522336170418809,0.464645777961985,0.0453312068021901,No,No
35,srijitseal,2026-09-08 16:05 UTC,Not submitted,0.3464249457931883,0.0404539556401699,0.7712021857923497,0.0165300552098863,0.3555596368352895,0.0317194267121739,0.6665754365822781,0.0522609644732138,0.4578430355390701,0.0352617680418131,No,No
36,admetchallenger,2026-09-16 06:25 UTC,Not submitted,0.3437056416902366,0.0457490512093693,0.8002937158469946,0.0158708683897448,0.3916518189139319,0.0371723651865478,0.5755660815765865,0.0556363790631561,0.4585939629747064,0.0397459452983938,No,No
37,lac,2026-09-21 00:00 UTC,Not submitted,0.3435581320853201,0.0601127148600114,0.8390341530054646,0.0132974676077968,0.5339325394890801,0.0868716563853326,0.4044120312985366,0.0481221506899708,0.4301532675110783,0.0546741904586384,No,No
38,GNandini10,2026-09-21 06:24 UTC,Not submitted,0.3424868495796907,0.0395666670186474,0.7862909836065574,0.0149813027983575,0.4283566490240634,0.0310416965434463,0.544792911967695,0.0554329982910446,0.4315727966977274,0.0334817373348879,No,No
39,JacksonBurns,2026-09-23 19:41 UTC,https://github.com/JacksonBurns/cyp-challenge/tree/ee5ab9a6744529264d80f503ad1355010ba74c80,0.3419369730622582,0.0482484164736903,0.8115245901639345,0.0146029859496401,0.4079306211172542,0.0437227662759958,0.5367823415802769,0.0533173452782278,0.4612776949132917,0.0432118756467072,No,Yes
40,drp-to-admed,2026-08-20 07:54 UTC,Not submitted,0.3407428384290566,0.0536893995512531,0.8348524590163935,0.0137716219963415,0.5109685975081305,0.0569837976441474,0.3782993331427751,0.0538247378204548,0.4223673162611263,0.0495942923712955,No,No
41,cyp3a4_test2,2026-09-22 03:11 UTC,Not submitted,0.3396438464897064,0.0494696624314865,0.8157882513661202,0.0136822692520195,0.4316823916711064,0.0494546353799832,0.4994431582347722,0.0523813329501256,0.4606375948413347,0.0452301058832288,No,No
42,C_CYPher-cypextmmg-B2regaux,2026-09-22 16:33 UTC,Not submitted,0.338387913120264,0.044034165808109,0.7988989071038252,0.015227418911971,0.4041535967099924,0.0353924568111588,0.5495066029427176,0.0567202515496536,0.4456532606336612,0.0382889981401051,No,No
43,deoxys,2026-09-13 16:09 UTC,Not submitted,0.3368385486113142,0.0559162287177079,0.8461297814207651,0.0135473845866561,0.5061786032377703,0.0673844587677666,0.3723079213524179,0.0498933012540705,0.424540919712531,0.0519091568815501,No,No
44,claw_test,2026-09-21 09:08 UTC,Not submitted,0.3358204940852481,0.0511720456705279,0.8220040983606557,0.0142998740552437,0.4460147683090462,0.0514058114979119,0.4615260213005902,0.0529536208992959,0.4501715758827834,0.0462934818315293,No,No
45,rxbox1,2026-09-18 17:54 UTC,Not submitted,0.334954971067268,0.04816129887737,0.8240273224043716,0.01419217977212,0.4184901369228887,0.0535582090288199,0.4984929711258107,0.0460236360812655,0.4440295141275984,0.043967506928597,No,No
46,whippoorwill,2026-09-16 07:20 UTC,Not submitted,0.3333034120524324,0.0523146384954054,0.8434234972677596,0.0137440262677219,0.4581965537624355,0.0559612104045394,0.4136783095422782,0.0496802825515409,0.4318448206555745,0.0476084903931525,No,No
47,1809,2026-09-18 06:45 UTC,Not submitted,0.3318842384607938,0.0508636878709067,0.8103292349726776,0.0145122820886398,0.4196640800799382,0.04843726430073,0.5053797319772515,0.0542529058853397,0.4561836294036649,0.0458930873946503,No,No
48,21kd1a05e0,2026-09-22 04:33 UTC,Not submitted,0.3313827751723075,0.0555061082106764,0.8540655737704919,0.0131990384476199,0.5603576389855914,0.0710183914648284,0.2973762328683171,0.047244823598731,0.3854752679860423,0.0525664629838322,No,No
49,avaliev,2026-08-18 19:01 UTC,Not submitted,0.3305667492456345,0.0552616504866234,0.8347732240437159,0.0131731159631183,0.4720382423282528,0.0753585419941846,0.4289901251355945,0.0451036513286177,0.4297951193094266,0.0498978330466462,No,No
50,Biomni-TusoAI,2026-09-12 20:09 UTC,Not submitted,0.3266690714675376,0.0428074509968631,0.7867418032786885,0.0151466267534865,0.3602874877885479,0.0352746350706968,0.593845513580799,0.0508202314940914,0.4461690921205428,0.0379836606169487,No,No
51,peraputeja,2026-09-22 04:33 UTC,Not submitted,0.3252928188969042,0.0489406243574079,0.8445587431693989,0.0132498153407108,0.4705353516050631,0.051054192904877,0.3771321442008739,0.0486739985088507,0.4157463088368339,0.0454496614343307,No,No
52,TabICL-baseline,2026-08-13 04:21 UTC,Not submitted,0.3249669223859113,0.0532914803482751,0.844629781420765,0.0136379788467785,0.4780753264489766,0.0567250121581389,0.3689834537931485,0.0511385113830374,0.4134617062487112,0.0491258159543127,No,No
53,Swathi007,2026-09-18 11:27 UTC,Not submitted,0.3246569329791253,0.0519389938776668,0.8322021857923497,0.0141443006026062,0.4629554203278684,0.0537787710895907,0.4022152405283954,0.0517835787455965,0.4269634530514117,0.0472944056887072,No,No
