Rank,Username,Submitted,Model Report Link,MA-ST-RAE,MA-ST-RAE std,MA-MAE,MA-MAE std,MA-R²,MA-R² std,MA-Spearman's ρ,MA-Spearman's ρ std,MA-Kendall's τ,MA-Kendall's τ std,Proprietary Data,Open Code
1,preheat-to-450,2026-09-23 16:31 UTC,Not submitted,0.3699509352279373,0.0144262753118555,0.5939352953539628,0.0116327602286179,0.6618885739865807,0.0166278381453875,0.7874760949623749,0.0135346365400709,0.6130795482471822,0.0124443562198772,No,No
2,wbot,2026-09-23 07:45 UTC,Not submitted,0.3805190617678501,0.0146389705354829,0.6094081860225056,0.0119380417130031,0.638423145068912,0.0181999171165683,0.7746022505027941,0.0139088553288746,0.5991757646706279,0.0126027472983899,No,No
3,testcyp,2026-09-21 03:58 UTC,Not submitted,0.3891269291454655,0.0150363301665008,0.5608068850766386,0.0122347764988012,0.6774683359282411,0.0160463523688242,0.78380935770431,0.0132629013241315,0.6082594319713253,0.0119369960827252,No,No
4,Rubyy,2026-09-23 09:13 UTC,Not submitted,0.3985395308682309,0.0151145656366238,0.630879123398922,0.0121772100606079,0.6163970256353932,0.0198801109361956,0.778076724035929,0.0132726675844454,0.6031555069170895,0.0119274193639639,No,No
5,EleanorRigby,2026-09-23 02:41 UTC,Not submitted,0.4138904316372355,0.015470213734793,0.6509543292965434,0.0121627810892465,0.6006599104852695,0.0189541506045877,0.7721185304873444,0.0137503127362601,0.5961506032288361,0.0126120511958604,No,No
6,furtivepeony,2026-09-10 01:30 UTC,Not submitted,0.4300849948935219,0.0169636369836357,0.6272812069449296,0.012283316718761,0.6268619015349097,0.018329093787392,0.762598770014313,0.0136527271926869,0.585824388342123,0.0121938523970784,No,No
7,leebrubeck,2026-09-14 18:38 UTC,Not submitted,0.4315222258176653,0.0168853573117376,0.6180041667499808,0.0121749728989695,0.63307346233006,0.0178600079056714,0.7604342467849474,0.0142001296503238,0.5801572073151904,0.0128285658545435,No,No
8,curiousone,2026-09-16 05:35 UTC,Not submitted,0.4360795706832971,0.0169066020078832,0.6306179519928253,0.0123354845995204,0.6183250545307862,0.0189662252612562,0.7569669895753921,0.0139982480425953,0.5815678098535199,0.0125059144268439,No,No
9,first-chair,2026-09-14 17:51 UTC,Not submitted,0.4367337107761971,0.0171045005917798,0.6279354472858522,0.0124197430566689,0.6265810670435782,0.0177991597429658,0.7548255470655832,0.0144650678720446,0.5750423526343199,0.012946701069731,No,No
10,hfger,2026-09-23 04:53 UTC,https://supercowpowers.github.io/workbench/blogs/cyp_challenge/,0.4374204967164824,0.0171855776056096,0.6293984184155682,0.0123840554783912,0.6199753521820528,0.0190480269210504,0.7503551148150726,0.0144544988181614,0.575402595472505,0.0128008532882227,No,Yes
11,briford,2026-08-30 15:14 UTC,https://supercowpowers.github.io/workbench/blogs/cyp_challenge/,0.4377997714479094,0.0175100750282699,0.6331430020143404,0.0123448302180709,0.6181047184289781,0.0195842347797753,0.7515780014272241,0.0141889587858892,0.5748346390820729,0.0126014570404372,No,Yes
12,hf-far,2026-09-02 19:55 UTC,Not submitted,0.4418982254864425,0.0163937564639803,0.6638431057135573,0.0125833210524224,0.5821229064100854,0.0206922289411507,0.7525213892594045,0.014083767554129,0.5746984279881925,0.012579376916296,No,No
13,Scigantic,2026-09-21 17:57 UTC,Not submitted,0.4426346712372487,0.0158574599031955,0.6498387189600695,0.0121150362478169,0.6052050073464793,0.0171877850214146,0.7587202392874166,0.014079339385024,0.5805694827623756,0.0125587884474526,No,No
14,horse-pusher,2026-09-23 03:39 UTC,Not submitted,0.4428132424996011,0.0164381927342136,0.6631173137131516,0.0123730671726761,0.5854235661335581,0.0209044892509125,0.7522283668674181,0.0139901557371905,0.577751281035913,0.0122588130501069,No,No
15,C_CYPher-cypext-B1cal-restore,2026-09-14 13:52 UTC,Not submitted,0.442814306933192,0.0167839940250954,0.6281022286593625,0.0121830955778121,0.623157056653195,0.0172633495882053,0.7629338256804145,0.0135531007198865,0.5822559423538239,0.0123439823053498,No,No
16,whippoorwill,2026-09-23 09:40 UTC,Not submitted,0.4437608812708034,0.0173584201248222,0.5549583772507031,0.0130104816957614,0.6670575972164844,0.0166336215776273,0.7687127691396505,0.0138594054093309,0.5928123977690013,0.0123678413956361,No,No
17,random-forest,2026-09-22 12:47 UTC,Not submitted,0.4470139372947828,0.0173331065474325,0.6409110402617217,0.0123746081860131,0.6109132926855516,0.0194545442362918,0.7507091239748902,0.014251976179145,0.574271246627065,0.0126349714517021,No,No
18,ADMETForge,2026-09-22 12:33 UTC,Not submitted,0.4475780353347718,0.0174304168991036,0.6252186244149837,0.0126996461633668,0.6209774978038106,0.0186094157795155,0.7569446915393482,0.0138506772345448,0.578893588674481,0.0124749722121096,No,No
19,stir_bar,2026-09-23 10:58 UTC,Not submitted,0.4497571417611437,0.0144082653628334,0.680334508096925,0.0121575817979468,0.5668515626594762,0.0202411154702454,0.7573467649948313,0.0140479644711158,0.5818129782548802,0.0123385516567309,No,No
20,CYPext-x-endpt-tag,2026-09-23 09:22 UTC,Not submitted,0.4558451933865052,0.0148858927760737,0.6666788775168144,0.0121140367509228,0.5930950412509464,0.0167140098710627,0.7593720882897382,0.0137725483569887,0.5826400026143382,0.0123577024673485,No,No
21,lex,2026-09-16 07:27 UTC,Not submitted,0.4608759176659897,0.0179633258810033,0.6465548649598587,0.0129226065060486,0.6006788585063203,0.0199913144812518,0.7404627204644477,0.0145734691931715,0.5645402186440164,0.0128506191538194,No,No
22,Ligand Pro,2026-09-21 10:57 UTC,Not submitted,0.4651343524135751,0.0178131381201045,0.6510641592465384,0.0126185777877882,0.5937015599503624,0.0200859772212953,0.730765924401823,0.0152276433031209,0.5552265012696571,0.0132047241760474,No,No
23,Tutu,2026-09-23 18:14 UTC,Not submitted,0.4682761144571283,0.014872924183526,0.654662014336167,0.0125023838795505,0.585588090200589,0.0162797439676148,0.747817069618384,0.0145065393317529,0.5673805009908073,0.0130929705078321,No,No
24,samsung,2026-09-14 07:57 UTC,Not submitted,0.4703428135401043,0.0177204771759937,0.6472507059049,0.0131386401794838,0.5844233057249097,0.0204651157710306,0.7332955782534838,0.0145444606361966,0.5565643069349034,0.0128033578213286,No,No
25,huangzx,2026-09-04 06:20 UTC,Not submitted,0.4722661367766061,0.0168358336088017,0.6758855399141385,0.0127958845843277,0.5676437146017528,0.020140128294658,0.7402460491945413,0.0147614504818991,0.5581055847851654,0.0129804970079096,No,No
26,JSHCF,2026-09-23 14:49 UTC,Not submitted,0.4748692776057736,0.0165874482149674,0.6781719411852831,0.0130117387313781,0.5642860169548987,0.0201910622359956,0.7372748390152744,0.0153605967189892,0.558081176396994,0.0133817184664925,No,No
27,tguttenb1,2026-09-23 05:42 UTC,Not submitted,0.4749150637165956,0.0174271206809708,0.6662531647989398,0.0127865443137673,0.576131994428778,0.0203868720938663,0.7193022997722842,0.0153331882640962,0.5468473479406111,0.0132775796640709,No,No
28,admetchallenger,2026-09-23 06:05 UTC,Not submitted,0.4750753480589871,0.0183819620249454,0.649195458456777,0.0134679959029047,0.5878867064298592,0.0195790395822655,0.7342266907373763,0.0148952909494483,0.5555529258970221,0.0130795726691961,No,No
29,Autopilot (fully autonomous agent entry),2026-09-14 23:46 UTC,Not submitted,0.4767201651666961,0.0151106263888848,0.677197199480781,0.0126157394409855,0.5692505653252913,0.0159693433471557,0.7573466957952663,0.0143675472186121,0.5769862737437282,0.0128972762995232,No,No
30,N283T,2026-09-18 12:14 UTC,Not submitted,0.4773066815318553,0.0173302578929235,0.6621619010400669,0.0122781239572384,0.5870705623086818,0.0190217892500099,0.7205266152122858,0.0153564242863809,0.5496597818051658,0.0131221098579944,No,No
31,PCA,2026-09-14 08:50 UTC,Not submitted,0.4796223473970128,0.0175579050515796,0.6522097719412233,0.0132441269185263,0.5774649796398973,0.0207015682504703,0.730510965719466,0.0143650198007759,0.5548782056878787,0.012611285107072,No,No
32,6jhb4,2026-09-23 01:44 UTC,Not submitted,0.4803756875301704,0.0170314228470631,0.654893934243739,0.0128423767665078,0.5818308992059452,0.0203220077480586,0.7300512453427698,0.0145461142314591,0.5563219811881885,0.0126917939861917,No,No
33,7xkql,2026-09-23 01:43 UTC,Not submitted,0.481364681674632,0.0170387254667411,0.6554162106769156,0.0128469962297488,0.5830824050127545,0.0202419697663562,0.7305465911315954,0.0145070765399264,0.5569873869723252,0.0125969875950351,No,No
